Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,12,12,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),3,1720,1695,5.8,6.0
Personal,Visitors,Trip Start,12,12,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),14,1821,1885,7.8,8.3
Personal,Visitors,Trip Start,12,12,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),24,1999,2049,8.9,8.9
Personal,Visitors,Trip Start,12,12,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),26,1767,1905,7.8,8.4
Personal,Visitors,Trip Start,12,12,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),93,1999,2112,10.4,11.0
Personal,Visitors,Trip Start,12,12,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,2001,2001,8.4,8.4
Personal,Visitors,Trip Start,12,12,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),3,1897,2788,11.7,12.4
Personal,Visitors,Trip Start,12,12,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),32,2014,2138,10.5,11.3
Personal,Visitors,Trip Start,12,12,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),38,1991,2014,9.8,10.0
Personal,Visitors,Trip Start,12,12,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),20,2004,2171,11.7,12.2
Personal,Visitors,Trip Start,13,13,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),115,1743,1816,8.7,8.9
Personal,Visitors,Trip Start,13,13,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,903,1404,3.9,3.9
Personal,Visitors,Trip Start,13,13,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),6,1754,1790,12.9,12.9
Personal,Visitors,Trip Start,13,13,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),39,1801,1877,9.0,9.2
Personal,Visitors,Trip Start,13,13,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),32,1838,1902,9.4,9.5
Personal,Visitors,Trip Start,13,13,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),36,1604,1684,7.0,7.4
Personal,Visitors,Trip Start,13,13,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),103,1682,1763,8.1,8.3
Personal,Visitors,Trip Start,13,13,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),1,1065,1877,5.5,5.1
Personal,Visitors,Trip Start,13,13,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),4,1207,1207,6.3,6.3
Personal,Visitors,Trip Start,13,13,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),36,1734,1809,8.7,9.0
Personal,Visitors,Trip Start,13,13,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),29,1807,1883,9.2,9.3
Personal,Visitors,Trip Start,13,13,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),33,1582,1671,6.7,7.0
Personal,Visitors,Trip Start,13,13,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),145,1854,1912,9.7,9.9
Personal,Visitors,Trip Start,13,13,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,740,740,2.3,2.3
Personal,Visitors,Trip Start,13,13,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),12,2254,2311,19.0,18.8
