Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),135,1216,1279,5.6,6.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),65,1203,1238,6.1,6.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),530,1199,1258,5.0,5.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),30,1344,1406,6.7,6.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),178,1235,1304,5.1,5.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),203,1163,1208,4.6,4.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),117,1127,1194,4.3,4.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),553,1208,1266,4.9,5.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),31,1355,1434,6.1,6.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),190,1214,1266,4.8,5.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),216,1174,1226,4.6,5.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),113,1150,1223,4.4,4.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),458,1149,1209,4.4,4.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),142,1228,1308,4.9,5.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),171,1116,1157,4.4,4.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,15,015,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),123,1096,1155,3.8,4.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3351,1654,1709,7.4,7.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),27,1774,1783,12.9,12.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),202,1759,1845,9.2,9.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1211,1718,1774,7.7,8.0
