Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),11,1305,1289,8.7,8.3
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),282,1876,1907,7.2,7.3
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),8,1972,2040,4.7,5.1
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),23,1696,1696,5.2,5.1
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),93,1858,1908,6.7,6.9
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),85,1963,1984,8.1,8.2
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),73,1841,1867,7.5,7.6
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),378,1869,1890,7.0,7.0
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),9,2139,2235,5.0,5.6
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),30,1653,1655,5.2,5.1
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),123,1869,1906,6.7,6.8
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),110,1924,1939,7.3,7.3
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),106,1847,1857,7.8,7.8
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),84,1758,1801,7.2,7.4
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),5,1401,1401,3.8,3.8
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),2,1830,1830,5.2,5.2
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),26,1864,1864,7.9,7.9
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),37,1815,1909,8.1,8.3
